iter	Logloss
0	0.6742033687
1	0.65369025
2	0.6348543801
3	0.6178612519
4	0.6039084851
5	0.5903768481
6	0.5783286139
7	0.5674641554
8	0.5575998642
9	0.5490360396
10	0.5396277274
11	0.5312455505
12	0.5240659635
13	0.5170158093
14	0.5096225818
15	0.5037739414
16	0.4969593836
17	0.4917032735
18	0.487329136
19	0.4817187012
20	0.4764411052
21	0.4708382481
22	0.4652226501
23	0.4609178161
24	0.4574778502
25	0.4544571413
26	0.4506648482
27	0.4480469607
28	0.444766167
29	0.4413535852
30	0.4382779127
31	0.434834901
32	0.4314167542
33	0.4286070889
34	0.4260980398
35	0.4239718819
36	0.4217410548
37	0.4195171411
38	0.4175201749
39	0.415690069
40	0.4139608097
41	0.4112818776
42	0.4100777754
43	0.4081382076
44	0.4061006406
45	0.4041141553
46	0.4015384957
47	0.3993406495
48	0.3978217032
49	0.395595652
50	0.3943287136
51	0.3933333011
52	0.3925355681
53	0.3908682639
54	0.3900616084
55	0.3888349416
56	0.3880220445
57	0.3871643491
58	0.3864556901
59	0.3855566809
60	0.3848091966
61	0.3836415717
62	0.3817105471
63	0.3807166772
64	0.3798968606
65	0.3792471045
66	0.3780592483
67	0.3771512531
68	0.3763084505
69	0.3752177239
70	0.3748645419
71	0.3743367426
72	0.3739242128
73	0.3734192397
74	0.3723869423
75	0.3717574831
76	0.3708358997
77	0.3704172358
78	0.3700710018
79	0.3697503127
80	0.3693876782
81	0.3689299545
82	0.3684551635
83	0.368075238
84	0.3673828102
85	0.367035944
86	0.3665287556
87	0.3661815119
88	0.365619693
89	0.3652935611
90	0.3648220057
91	0.3644578451
92	0.3635446329
93	0.3629999041
94	0.3627617369
95	0.3621243983
96	0.3617563204
97	0.3611151699
98	0.3609021127
99	0.3606153894
100	0.3603506594
101	0.3599668723
102	0.3593324529
103	0.3588298301
104	0.3586132482
105	0.3582243491
106	0.3578545718
107	0.357532285
108	0.3571997841
109	0.3563391363
110	0.3561490552
111	0.3559367843
112	0.3557298042
113	0.3554451775
114	0.3552135798
115	0.3549124188
116	0.3546136156
117	0.3537859114
118	0.3535662648
119	0.3530096086
120	0.3527842935
121	0.3521133874
122	0.3517879379
123	0.3515673864
124	0.3513249669
125	0.351194286
126	0.3509789676
127	0.3508076448
128	0.350633215
129	0.3504307157
130	0.3502350943
131	0.3499032231
132	0.349686872
133	0.3495188998
134	0.3490287533
135	0.3487099605
136	0.34858582
137	0.3484066519
138	0.3482443426
139	0.3480509703
140	0.3479078333
141	0.3477697435
142	0.3476441441
143	0.3474691734
144	0.3472672686
145	0.3471548268
146	0.3470433238
147	0.3468462787
148	0.3467479184
149	0.3466844271
150	0.3465932323
151	0.3463944712
152	0.3461786356
153	0.346038113
154	0.3455512277
155	0.3452176223
156	0.3449955867
157	0.3448325674
158	0.3446499544
159	0.3445276416
160	0.3440718125
161	0.3439431877
162	0.3438394333
163	0.343611678
164	0.3434728782
165	0.3433994319
166	0.3433167412
167	0.343088778
168	0.3429566886
169	0.3427547779
170	0.3424217765
171	0.3422653084
172	0.3422021959
173	0.3420743917
174	0.3419129811
175	0.3413812058
176	0.3412452746
177	0.3411400547
178	0.3410340755
179	0.3409507896
180	0.3407936328
181	0.3406114849
182	0.3404934071
183	0.3403577061
184	0.3402801466
185	0.3401622069
186	0.3400239991
187	0.3399399488
188	0.339904375
189	0.3397419795
190	0.3396006981
191	0.3395312396
192	0.3394047768
193	0.3389573369
194	0.3388223871
195	0.3387736132
196	0.3384675567
197	0.3383705446
198	0.3382396656
199	0.3381087078
200	0.3379961321
201	0.3379199596
202	0.3378108437
203	0.3376481306
204	0.3374800287
205	0.3373711378
206	0.337187461
207	0.3370905674
208	0.336933842
209	0.3368024772
210	0.3367180569
211	0.3366472196
212	0.3364919816
213	0.3362436077
214	0.3360735437
215	0.335980554
216	0.3359212436
217	0.3357583837
218	0.3355683259
219	0.3354665934
220	0.3352601271
221	0.3351471023
222	0.335079214
223	0.3349587674
224	0.3345687882
225	0.3345035676
226	0.3344183834
227	0.3342671722
228	0.3341985722
229	0.3341471019
230	0.3340511521
231	0.3340470576
232	0.3338601684
233	0.3337872941
234	0.3335087123
235	0.3334504942
236	0.3333023427
237	0.3331952449
238	0.3330926355
239	0.3329614759
240	0.3328239266
241	0.332531562
242	0.3324646104
243	0.3322836735
244	0.3321903625
245	0.3321003985
246	0.3320370222
247	0.3319387799
248	0.3315917882
249	0.331475659
250	0.3313567706
251	0.3312897268
252	0.3312241853
253	0.3311330864
254	0.3309567449
255	0.3309026576
256	0.330833731
257	0.3307840294
258	0.3306022855
259	0.3305556299
260	0.3304132091
261	0.3302385555
262	0.330159368
263	0.3300704514
264	0.3300171512
265	0.3299466391
266	0.3298623523
267	0.3297376274
268	0.3296403773
269	0.3294842732
270	0.3293801073
271	0.3292765344
272	0.3290983737
273	0.3290106642
274	0.3288425864
275	0.32877075
276	0.3286380905
277	0.3285222117
278	0.3283370639
279	0.3282550774
280	0.3281461273
281	0.3279764508
282	0.3279156595
283	0.3278494199
284	0.3277582431
285	0.3276525662
286	0.3275262796
287	0.3274367009
288	0.3273239487
289	0.3272683925
290	0.3271830066
291	0.3271121657
292	0.3270363689
293	0.326926741
294	0.3268467311
295	0.3267594013
296	0.326617836
297	0.3265308913
298	0.326377592
299	0.3262420017
