iter	Logloss
0	0.6738980881
1	0.6589493695
2	0.6402055285
3	0.6269540776
4	0.6148079982
5	0.6011591901
6	0.5906017225
7	0.581314848
8	0.5708807262
9	0.5631258914
10	0.555761307
11	0.5481705689
12	0.5412836356
13	0.5345281744
14	0.5280003181
15	0.5237605966
16	0.5185229418
17	0.5121242951
18	0.508044308
19	0.504695315
20	0.5015155204
21	0.4978086205
22	0.4951575578
23	0.4928391659
24	0.4893232474
25	0.4862119814
26	0.4833258365
27	0.4806367291
28	0.4786299986
29	0.4761637649
30	0.4740009893
31	0.471648773
32	0.468972205
33	0.466466264
34	0.4647158736
35	0.4625698824
36	0.4607259161
37	0.4584310925
38	0.4563767492
39	0.4547137875
40	0.4524927987
41	0.4513309454
42	0.4496544909
43	0.4477744661
44	0.4466479845
45	0.4455659596
46	0.4445342497
47	0.4425191847
48	0.4414036405
49	0.440459745
50	0.4392158934
51	0.4378772162
52	0.4369756856
53	0.4354911046
54	0.4335447442
55	0.4325499314
56	0.4317237868
57	0.4302336217
58	0.4294418467
59	0.4282617724
60	0.4270636483
61	0.425944901
62	0.4250798945
63	0.4241970058
64	0.4227921045
65	0.4220100286
66	0.4211942984
67	0.4201161985
68	0.419410388
69	0.4184905763
70	0.4171643796
71	0.4162218172
72	0.4154885432
73	0.414755937
74	0.4142170166
75	0.4135144338
76	0.4124868158
77	0.4119582551
78	0.4113572555
79	0.4109092744
80	0.4104240558
81	0.4094277165
82	0.4087929488
83	0.408314996
84	0.4077994643
85	0.407073566
86	0.4062948761
87	0.4057688763
88	0.4053828619
89	0.4048486914
90	0.4040623737
91	0.4032221217
92	0.4028337358
93	0.4022393665
94	0.4018115302
95	0.4014100328
96	0.400731535
97	0.3999894786
98	0.3995516863
99	0.3990344944
100	0.3983217157
101	0.3972964941
102	0.3970247016
103	0.3966557056
104	0.3962483488
105	0.3959051303
106	0.3953810869
107	0.3951080018
108	0.3946204817
109	0.3941240058
110	0.3938553255
111	0.3934326658
112	0.3930251334
113	0.3927145528
114	0.3920151638
115	0.3916363764
116	0.3908542202
117	0.3904314292
118	0.39000942
119	0.3897384005
120	0.3894134897
121	0.3890070999
122	0.3886941552
123	0.3883812512
124	0.3881321141
125	0.3877566749
126	0.3874195298
127	0.386893038
128	0.3866796281
129	0.3860884692
130	0.3853059232
131	0.3849640586
132	0.3844353371
133	0.3842577437
134	0.3839337966
135	0.3836843724
136	0.3833355454
137	0.3829256142
138	0.3826280914
139	0.3823338016
140	0.382096284
141	0.381798092
142	0.3814978086
143	0.3812128974
144	0.3810384946
145	0.3808223054
146	0.3804393826
147	0.3800639828
148	0.3796991725
149	0.379532896
150	0.3792837251
151	0.3789253618
152	0.3784315589
153	0.3780252063
154	0.3776058517
155	0.3773200538
156	0.3769952505
157	0.3767501743
158	0.3764052686
159	0.3760741229
160	0.3758612946
161	0.3755370057
162	0.3753183205
163	0.3748746479
164	0.3745122743
165	0.3743607897
166	0.3741438091
167	0.3739435259
168	0.3737223496
169	0.3733488149
170	0.3729733724
171	0.3727060109
172	0.3723739801
173	0.3720761418
174	0.3716494732
175	0.3714314427
176	0.3709997024
177	0.370692703
178	0.3705307199
179	0.3703142132
180	0.3698553025
181	0.3694243543
182	0.3692121477
183	0.3689329355
184	0.3687970575
185	0.368576269
186	0.3683600847
187	0.3682212632
188	0.3680774039
189	0.3678133649
190	0.3675443133
191	0.3674097942
192	0.3672513778
193	0.3669930571
194	0.3667644477
195	0.3665143398
196	0.3662784695
197	0.3660012256
198	0.365728203
199	0.3654400944
200	0.3652726314
201	0.3651210646
202	0.3648973772
203	0.3647246217
204	0.3645442172
205	0.3643416025
206	0.3640914272
207	0.3639070979
208	0.3634656956
209	0.3632011645
210	0.3630910347
211	0.3627778242
212	0.3626629029
213	0.3625183695
214	0.3623208759
215	0.3621461064
216	0.361981269
217	0.3618046324
218	0.3614236658
219	0.3611895614
220	0.3608361097
221	0.36065298
222	0.3605267284
223	0.36019696
224	0.3599413481
225	0.3595907541
226	0.3594313211
227	0.3592471013
228	0.3590516323
229	0.3589266967
230	0.3588009382
231	0.3584297322
232	0.3583515384
233	0.3582385615
234	0.3580347244
235	0.3579174813
236	0.3577259977
237	0.3574206614
238	0.3571043023
239	0.35682139
240	0.3566276499
241	0.3564557605
242	0.3561645488
243	0.355992811
244	0.355847388
245	0.3557613764
246	0.3555083327
247	0.3553351332
248	0.3551596515
249	0.3548483862
250	0.3546960474
251	0.3545011949
252	0.3543480335
253	0.3542110991
254	0.3540653273
255	0.3538697578
256	0.3536843679
257	0.3534546955
258	0.3532109677
259	0.353113427
260	0.3529657674
261	0.352829602
262	0.3524776515
263	0.3522994352
264	0.3522076658
265	0.3520151515
266	0.3518392665
267	0.3515601543
268	0.3514119659
269	0.3513196612
270	0.351201637
271	0.3510402459
272	0.3508539682
273	0.3506563717
274	0.350444196
275	0.3502480744
276	0.3501196383
277	0.34990805
278	0.349658483
279	0.3495209263
280	0.3493016858
281	0.3491587474
282	0.3489587452
283	0.3487454792
284	0.3485214084
285	0.3483441424
286	0.3480982356
287	0.3479884304
288	0.3478818775
289	0.3476692059
290	0.3474441084
291	0.3472690859
292	0.3470489787
293	0.3469210384
294	0.3467532526
295	0.3466603863
296	0.346476002
297	0.3462684587
298	0.346129302
299	0.3459249199
